11.42,12.86,0.8683,5.008,2.85,2.7,4.607
11.23,12.63,0.884,4.902,2.879,2.269,4.703
12.36,13.19,0.8923,5.076,3.042,3.22,4.605
13.22,13.84,0.868,5.395,3.07,4.157,5.088
12.78,13.57,0.8716,5.262,3.026,1.176,4.782
12.88,13.5,0.8879,5.139,3.119,2.352,4.607
14.34,14.37,0.8726,5.63,3.19,1.313,5.15
14.01,14.29,0.8625,5.609,3.158,2.217,5.132
14.37,14.39,0.8726,5.569,3.153,1.464,5.3
12.73,13.75,0.8458,5.412,2.882,3.533,5.067
18.3,15.89,0.9108,5.979,3.755,2.837,5.962
18.94,16.32,0.8942,6.144,3.825,2.908,5.949
15.38,14.9,0.8706,5.884,3.268,4.462,5.795
16.16,15.33,0.8644,5.845,3.395,4.266,5.795
15.56,14.89,0.8823,5.776,3.408,4.972,5.847
15.38,14.66,0.899,5.477,3.465,3.6,5.439
17.36,15.76,0.8785,6.145,3.574,3.526,5.971
15.57,15.15,0.8527,5.92,3.231,2.64,5.879
15.6,15.11,0.858,5.832,3.286,2.725,5.752
16.23,15.18,0.885,5.872,3.472,3.769,5.922
12.38,13.44,0.8609,5.219,2.989,5.472,5.045
12.67,13.32,0.8977,4.984,3.135,2.3,4.745
11.18,12.72,0.868,5.009,2.81,4.051,4.828
12.7,13.41,0.8874,5.183,3.091,8.456,5
12.37,13.47,0.8567,5.204,2.96,3.919,5.001
12.19,13.2,0.8783,5.137,2.981,3.631,4.87
11.23,12.88,0.8511,5.14,2.795,4.325,5.003
13.2,13.66,0.8883,5.236,3.232,8.315,5.056
11.84,13.21,0.8521,5.175,2.836,3.598,5.044
12.3,13.34,0.8684,5.243,2.974,5.637,5.063
